epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1063.83,1.37862,2.58292,1.35186,0.52279,0.43861,0.41891,0.25062,1.36604,1.62922,1.33253,0.00333203,0.00333203,0.00333203
2,2111.76,1.45442,1.96179,1.40112,0.48425,0.45133,0.40479,0.25206,1.37077,1.6415,1.33038,0.00663237,0.00663237,0.00663237
3,3161.53,1.62625,2.19996,1.55336,0.48419,0.46905,0.41255,0.25212,1.36878,1.63081,1.37652,0.00989971,0.00989971,0.00989971
4,4208.33,1.55326,2.09028,1.54085,0.54935,0.54051,0.51179,0.33187,1.16242,1.34487,1.25208,0.0098515,0.0098515,0.0098515
5,5259.93,1.42239,1.88606,1.45063,0.58428,0.59053,0.56719,0.38197,1.06598,1.21391,1.1954,0.009802,0.009802,0.009802
6,6309.1,1.35085,1.80104,1.41054,0.58884,0.61811,0.58901,0.40265,1.01919,1.15209,1.16384,0.0097525,0.0097525,0.0097525
7,7358.3,1.31119,1.74558,1.3871,0.59293,0.6341,0.60647,0.41693,0.9933,1.11794,1.14832,0.009703,0.009703,0.009703
8,8407.2,1.28721,1.70879,1.37244,0.59769,0.64615,0.61669,0.42626,0.98151,1.09954,1.14009,0.0096535,0.0096535,0.0096535
9,9455.64,1.26794,1.68749,1.35399,0.59718,0.64974,0.62101,0.43122,0.96772,1.08866,1.13064,0.009604,0.009604,0.009604
10,10502.8,1.25463,1.6588,1.35286,0.60236,0.65145,0.62714,0.43701,0.95496,1.07621,1.12276,0.0095545,0.0095545,0.0095545
11,11550.2,1.24092,1.64461,1.34776,0.61069,0.65238,0.6331,0.44279,0.9454,1.06371,1.11788,0.009505,0.009505,0.009505
12,12593.1,1.23188,1.6298,1.3426,0.61657,0.65799,0.6389,0.44817,0.93874,1.05229,1.11425,0.0094555,0.0094555,0.0094555
13,13637.8,1.22652,1.62284,1.3424,0.6153,0.66738,0.64433,0.45348,0.92983,1.03828,1.10861,0.009406,0.009406,0.009406
14,14680.1,1.22095,1.60913,1.33266,0.61609,0.67185,0.64698,0.45641,0.92152,1.02859,1.10351,0.0093565,0.0093565,0.0093565
15,15723.3,1.22654,1.6177,1.33883,0.62838,0.67124,0.65393,0.46243,0.91249,1.01469,1.09816,0.009307,0.009307,0.009307
16,16766.2,1.21796,1.60274,1.33349,0.63098,0.67607,0.65809,0.46619,0.9052,1.00607,1.09404,0.0092575,0.0092575,0.0092575
17,17806.5,1.20555,1.58428,1.3209,0.63349,0.67576,0.66205,0.47108,0.89916,0.99636,1.09019,0.009208,0.009208,0.009208
18,18847.8,1.20007,1.58269,1.32119,0.63836,0.67934,0.66652,0.47499,0.89162,0.98696,1.08587,0.0091585,0.0091585,0.0091585
19,19891.8,1.20364,1.58091,1.31838,0.63509,0.68588,0.66986,0.47889,0.88534,0.97799,1.082,0.009109,0.009109,0.009109
20,20932.3,1.19373,1.57075,1.31694,0.64081,0.68327,0.67351,0.48303,0.87852,0.96999,1.07744,0.0090595,0.0090595,0.0090595
21,21974.9,1.19774,1.57656,1.31957,0.63947,0.68713,0.67634,0.48592,0.87389,0.96178,1.07493,0.00901,0.00901,0.00901
22,23017.7,1.19083,1.55527,1.30973,0.63556,0.69554,0.67918,0.48856,0.86926,0.95403,1.07183,0.0089605,0.0089605,0.0089605
23,24055.9,1.18836,1.56759,1.32038,0.64594,0.69133,0.6821,0.49055,0.86495,0.94967,1.06991,0.008911,0.008911,0.008911
24,25096.5,1.18495,1.55579,1.31655,0.64351,0.69586,0.68299,0.49241,0.86215,0.94461,1.0689,0.0088615,0.0088615,0.0088615
25,26135.9,1.18551,1.56127,1.319,0.64451,0.70053,0.68488,0.49441,0.85781,0.93905,1.0661,0.008812,0.008812,0.008812
26,27178.1,1.18034,1.55862,1.31375,0.64564,0.70053,0.68682,0.49699,0.85358,0.93565,1.06407,0.0087625,0.0087625,0.0087625
27,28218.9,1.18153,1.55541,1.31155,0.64535,0.70988,0.68972,0.4998,0.84903,0.92725,1.06219,0.008713,0.008713,0.008713
28,29261.1,1.17498,1.54123,1.30981,0.64324,0.71658,0.69111,0.5009,0.84619,0.92317,1.06021,0.0086635,0.0086635,0.0086635
29,30301.1,1.17392,1.54367,1.31159,0.64472,0.71549,0.6923,0.50224,0.84419,0.92003,1.05937,0.008614,0.008614,0.008614
30,31343.9,1.1783,1.5368,1.30843,0.64356,0.71851,0.69251,0.50236,0.84354,0.9185,1.05911,0.0085645,0.0085645,0.0085645
31,32387.9,1.17513,1.5321,1.30595,0.64776,0.7158,0.69364,0.50354,0.84024,0.91255,1.05618,0.008515,0.008515,0.008515
32,33431.9,1.17342,1.53414,1.308,0.65001,0.71486,0.69614,0.50571,0.83701,0.9092,1.0544,0.0084655,0.0084655,0.0084655
33,34472.9,1.16641,1.51941,1.30524,0.6503,0.71277,0.69724,0.50779,0.8349,0.90591,1.05455,0.008416,0.008416,0.008416
34,35514.1,1.16151,1.52463,1.30435,0.6543,0.70598,0.69786,0.50941,0.83162,0.90472,1.05272,0.0083665,0.0083665,0.0083665
35,36556,1.1578,1.52782,1.2954,0.65054,0.70988,0.6987,0.50947,0.83022,0.90292,1.05138,0.008317,0.008317,0.008317
36,37596.8,1.16267,1.51843,1.29784,0.65574,0.71051,0.70003,0.51012,0.82977,0.9006,1.05145,0.0082675,0.0082675,0.0082675
37,38637.5,1.15851,1.51193,1.29542,0.65573,0.71581,0.70323,0.51322,0.8279,0.8951,1.05002,0.008218,0.008218,0.008218
38,39683.1,1.15624,1.52551,1.29884,0.65081,0.72188,0.70357,0.51483,0.8251,0.89149,1.04854,0.0081685,0.0081685,0.0081685
39,40724.9,1.15561,1.50808,1.29554,0.65741,0.71642,0.70506,0.51567,0.82232,0.88947,1.04708,0.008119,0.008119,0.008119
40,41765.7,1.15501,1.51783,1.29997,0.65903,0.72047,0.70597,0.51693,0.82115,0.8867,1.04644,0.0080695,0.0080695,0.0080695
41,42801.4,1.1501,1.49647,1.29332,0.66006,0.72156,0.70654,0.5187,0.81881,0.8828,1.04465,0.00802,0.00802,0.00802
42,43841.4,1.15018,1.49636,1.29041,0.66363,0.71841,0.70978,0.52139,0.81674,0.87777,1.04286,0.0079705,0.0079705,0.0079705
43,44882,1.15098,1.50953,1.29394,0.66319,0.72158,0.71216,0.52356,0.81543,0.87507,1.04178,0.007921,0.007921,0.007921
44,45918.2,1.14763,1.49246,1.29054,0.66498,0.71967,0.71203,0.52409,0.81335,0.87325,1.04075,0.0078715,0.0078715,0.0078715
45,46958.7,1.1425,1.49291,1.29177,0.67231,0.71455,0.71273,0.52486,0.81186,0.86967,1.03956,0.007822,0.007822,0.007822
46,47999.1,1.14853,1.49074,1.29222,0.66907,0.72125,0.71355,0.52569,0.8103,0.86983,1.03894,0.0077725,0.0077725,0.0077725
47,49039,1.14437,1.48964,1.28737,0.66734,0.7225,0.71375,0.5258,0.80824,0.8687,1.03748,0.007723,0.007723,0.007723
48,50078.2,1.14037,1.49316,1.28524,0.66993,0.72281,0.71385,0.52616,0.80662,0.86617,1.03654,0.0076735,0.0076735,0.0076735
49,51117.5,1.13665,1.47706,1.27862,0.66945,0.7239,0.71501,0.52737,0.80404,0.86187,1.03417,0.007624,0.007624,0.007624
50,52159,1.14109,1.48222,1.29024,0.66859,0.72421,0.71391,0.52839,0.80217,0.86101,1.03286,0.0075745,0.0075745,0.0075745
51,53192.2,1.13505,1.47916,1.28442,0.66887,0.72419,0.71564,0.53019,0.8002,0.8591,1.03232,0.007525,0.007525,0.007525
52,54229.8,1.13285,1.4869,1.28033,0.6704,0.72281,0.71699,0.53136,0.79921,0.85662,1.03154,0.0074755,0.0074755,0.0074755
53,55267.2,1.13273,1.47678,1.27843,0.66902,0.72469,0.71723,0.53127,0.80061,0.85626,1.03172,0.007426,0.007426,0.007426
54,56300.3,1.12798,1.47303,1.28091,0.66852,0.72624,0.71872,0.53292,0.79894,0.85357,1.03116,0.0073765,0.0073765,0.0073765
55,57335.6,1.12912,1.4807,1.28134,0.66565,0.72639,0.7184,0.53276,0.79744,0.85202,1.03079,0.007327,0.007327,0.007327
