epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.55052,2.78819,5.64722,2.03868,0.03896,0.09088,0.03559,0.01599,2.83166,3.29513,1.95591,0.00024,0.00024,0.00024
2,16.537,2.68481,2.14128,1.51243,0.23518,0.12189,0.08685,0.03144,2.76902,2.08222,1.34566,0.00049505,0.00049505,0.00049505
3,23.0839,2.62657,1.70932,1.35196,0.16703,0.15996,0.1003,0.04008,2.79535,1.9096,1.28481,0.000744952,0.000744952,0.000744952
4,29.7529,2.50044,1.59395,1.26746,0.1678,0.15659,0.09119,0.03686,2.80182,2.24789,1.32351,0.000989706,0.000989706,0.000989706
5,35.6663,2.46307,1.46429,1.24155,0.26797,0.2054,0.13383,0.05351,2.58411,1.73432,1.32968,0.00122931,0.00122931,0.00122931
6,42.2222,2.45012,1.47328,1.22693,0.19446,0.06755,0.06141,0.02974,2.25176,2.03179,1.60336,0.00146377,0.00146377,0.00146377
7,48.042,2.28581,1.45274,1.24096,0.40097,0.20111,0.17169,0.06355,2.6037,1.70839,1.36361,0.00169308,0.00169308,0.00169308
8,54.9374,2.39328,1.46364,1.24403,0.30491,0.18882,0.14545,0.05721,2.56915,1.88813,1.34635,0.0018614,0.0018614,0.0018614
9,60.9104,2.35929,1.43856,1.21454,0.32362,0.20203,0.14509,0.05968,2.57022,1.72146,1.35244,0.0018416,0.0018416,0.0018416
10,66.9485,2.272,1.37323,1.20645,0.39912,0.23887,0.20115,0.07925,2.40435,1.5875,1.31161,0.0018218,0.0018218,0.0018218
11,73.92,2.39419,1.35318,1.14824,0.4186,0.24808,0.20796,0.08084,2.41935,1.59529,1.24614,0.001802,0.001802,0.001802
12,80.2347,2.22336,1.38399,1.17402,0.496,0.28093,0.25585,0.09336,2.37827,1.48165,1.22813,0.0017822,0.0017822,0.0017822
13,86.632,2.20106,1.32082,1.17729,0.48092,0.27356,0.26222,0.09848,2.33743,1.44578,1.26446,0.0017624,0.0017624,0.0017624
14,93.4181,2.25728,1.30456,1.17527,0.47859,0.27971,0.25915,0.10313,2.26988,1.38004,1.25479,0.0017426,0.0017426,0.0017426
15,99.8567,2.21852,1.28721,1.14544,0.44728,0.26681,0.23757,0.09628,2.31949,1.42743,1.23904,0.0017228,0.0017228,0.0017228
