epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.77749,1.79407,0.9751,1.0583,0.62245,0.37826,0.39124,0.16736,1.92748,1.14562,1.12546,0.0005,0.0005,0.0005
2,15.0733,1.74195,0.90892,1.03556,0.62809,0.34848,0.36586,0.1574,1.96455,1.19031,1.12699,0.0010099,0.0010099,0.0010099
3,20.9311,1.87977,0.94134,1.02002,0.62005,0.35247,0.36393,0.14918,2.01765,1.24345,1.18058,0.00150951,0.00150951,0.00150951
4,26.7105,1.85417,1.04412,1.04972,0.64105,0.35421,0.37429,0.15654,1.98374,1.24101,1.16677,0.0019406,0.0019406,0.0019406
5,32.3183,1.81925,1.02882,1.06203,0.61981,0.33773,0.36074,0.15247,2.03167,1.31761,1.16291,0.0019208,0.0019208,0.0019208
6,38.1323,1.86673,1.03476,1.08422,0.56164,0.31563,0.31938,0.1302,2.04505,1.45983,1.19612,0.001901,0.001901,0.001901
7,43.7295,1.86472,1.0905,1.06544,0.65222,0.32085,0.34988,0.14515,2.0672,1.27752,1.19831,0.0018812,0.0018812,0.0018812
8,49.4085,2.06302,1.10881,1.14853,0.57598,0.29076,0.30204,0.12356,2.0696,1.35002,1.20993,0.0018614,0.0018614,0.0018614
9,55.31,1.93278,1.03915,1.05779,0.58713,0.32441,0.34038,0.13989,2.08972,1.3594,1.20385,0.0018416,0.0018416,0.0018416
10,60.5247,1.89269,1.09603,1.056,0.56079,0.31009,0.31993,0.13371,2.07205,1.28599,1.19995,0.0018218,0.0018218,0.0018218
11,65.6353,1.87287,1.06015,1.11591,0.59133,0.32545,0.34258,0.14008,2.03961,1.38245,1.18827,0.001802,0.001802,0.001802
12,71.0572,1.84903,1.03253,1.05234,0.57102,0.31133,0.31958,0.12999,2.07438,1.25433,1.21902,0.0017822,0.0017822,0.0017822
13,76.7221,1.9275,1.02176,1.06394,0.64404,0.3405,0.36336,0.15215,1.9887,1.28901,1.16802,0.0017624,0.0017624,0.0017624
14,82.177,1.85247,1.21569,1.10785,0.61442,0.35247,0.36777,0.15778,1.96035,1.23728,1.17557,0.0017426,0.0017426,0.0017426
15,87.8288,1.81442,1.01655,1.07293,0.60751,0.35309,0.37628,0.16625,1.96838,1.33546,1.16861,0.0017228,0.0017228,0.0017228
16,93.821,1.79095,0.96897,1.05947,0.57581,0.35676,0.36744,0.15342,2.02284,1.25966,1.15674,0.001703,0.001703,0.001703
17,99.2423,1.84446,0.97259,1.03753,0.60041,0.35799,0.3745,0.16059,1.96566,1.19501,1.17046,0.0016832,0.0016832,0.0016832
18,104.7,1.80809,0.99186,1.07314,0.61297,0.33067,0.36786,0.15448,2.04688,1.36786,1.21468,0.0016634,0.0016634,0.0016634
19,110.109,1.82815,1.02972,1.08156,0.63954,0.34046,0.36923,0.15398,2.05077,1.28494,1.21104,0.0016436,0.0016436,0.0016436
20,115.713,1.83667,0.96141,1.04816,0.60902,0.32138,0.3391,0.13543,2.08137,1.28673,1.21877,0.0016238,0.0016238,0.0016238
21,121.632,1.92111,1.01724,1.0443,0.63018,0.36076,0.39022,0.16312,1.98793,1.23484,1.15876,0.001604,0.001604,0.001604
22,126.907,1.81506,0.96736,1.04327,0.63657,0.363,0.38851,0.16693,1.93353,1.19626,1.13447,0.0015842,0.0015842,0.0015842
23,132.632,1.82384,1.00215,1.06361,0.59153,0.36076,0.37465,0.15909,1.96257,1.21347,1.16225,0.0015644,0.0015644,0.0015644
24,137.898,1.86072,0.97522,1.05209,0.60172,0.34111,0.3567,0.15247,1.98595,1.2448,1.18228,0.0015446,0.0015446,0.0015446
25,143.214,1.8516,0.97374,1.05151,0.60641,0.34787,0.37616,0.15379,1.9842,1.29312,1.16771,0.0015248,0.0015248,0.0015248
26,148.624,1.82261,0.97119,1.03242,0.60777,0.36076,0.38656,0.1653,1.99396,1.29048,1.15384,0.001505,0.001505,0.001505
27,154.278,1.75267,0.94128,1.03126,0.62853,0.34879,0.37248,0.15461,1.99498,1.29353,1.17135,0.0014852,0.0014852,0.0014852
28,160.007,1.87809,1.08102,1.10915,0.60797,0.35861,0.37399,0.15667,2.0116,1.32881,1.1426,0.0014654,0.0014654,0.0014654
