epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.74746,2.55194,6.00489,1.91147,0.10235,0.01873,0.05532,0.03258,2.76273,5.56497,2.01692,0.00012,0.00012,0.00012
2,14.7651,2.62853,4.6397,1.85047,0.0765,0.09057,0.05406,0.02554,2.58443,3.59647,1.82095,0.000257426,0.000257426,0.000257426
3,19.079,2.64113,2.3272,1.59732,0.18277,0.10685,0.07727,0.03459,2.69346,2.04649,1.4514,0.00039208,0.00039208,0.00039208
4,24.1314,2.70015,1.89772,1.41382,0.12564,0.09303,0.0684,0.03213,2.86649,2.38405,1.33552,0.000523962,0.000523962,0.000523962
5,28.5046,2.52618,1.65246,1.3375,0.13006,0.0829,0.05946,0.02643,2.97199,2.18742,1.38889,0.000653072,0.000653072,0.000653072
6,32.6837,2.43781,1.65511,1.32035,0.19551,0.12772,0.10008,0.04129,2.78156,1.92921,1.33037,0.00077941,0.00077941,0.00077941
7,37.6623,2.52325,1.61013,1.2432,0.14265,0.15812,0.08947,0.0364,2.88502,2.23201,1.35811,0.000902976,0.000902976,0.000902976
8,42.1118,2.39863,1.39455,1.22272,0.27177,0.20203,0.14684,0.06108,2.51901,1.80357,1.30161,0.00102377,0.00102377,0.00102377
9,47.0311,2.42335,1.40535,1.21307,0.40078,0.21615,0.19771,0.07115,2.58443,1.63173,1.28927,0.00114179,0.00114179,0.00114179
10,52.0201,2.35337,1.40044,1.21762,0.36981,0.2229,0.18764,0.07306,2.57072,1.59913,1.29278,0.00125704,0.00125704,0.00125704
11,56.8683,2.31302,1.31453,1.1835,0.41464,0.24314,0.21885,0.07853,2.55538,1.63628,1.27653,0.00136952,0.00136952,0.00136952
12,61.791,2.39944,1.46713,1.25312,0.43238,0.20356,0.1986,0.06021,2.74991,1.84732,1.31262,0.00147923,0.00147923,0.00147923
13,66.1436,2.37197,1.28664,1.14799,0.41784,0.20387,0.18881,0.06432,2.72594,1.61419,1.29489,0.00158616,0.00158616,0.00158616
14,70.7152,2.39643,1.33625,1.17673,0.47389,0.249,0.25292,0.09136,2.47526,1.50838,1.29261,0.00169032,0.00169032,0.00169032
15,75.6367,2.14979,1.3424,1.18082,0.50333,0.27725,0.26526,0.10375,2.29922,1.38428,1.25302,0.0017228,0.0017228,0.0017228
16,80.5519,2.28339,1.29774,1.17461,0.39738,0.26158,0.18496,0.0623,2.47971,1.88981,1.22019,0.001703,0.001703,0.001703
17,84.9155,2.11024,1.21884,1.12588,0.47474,0.26098,0.254,0.0992,2.30587,1.43515,1.26079,0.0016832,0.0016832,0.0016832
18,89.665,2.1095,1.21912,1.11831,0.46357,0.26681,0.25409,0.10022,2.3142,1.37088,1.29401,0.0016634,0.0016634,0.0016634
19,93.9692,2.2662,1.22228,1.12983,0.53305,0.28155,0.27593,0.11108,2.27494,1.40501,1.23421,0.0016436,0.0016436,0.0016436
20,99.0036,2.172,1.25933,1.17012,0.5139,0.28596,0.26334,0.09911,2.27939,1.42547,1.21928,0.0016238,0.0016238,0.0016238
21,103.481,2.11791,1.20366,1.12896,0.53034,0.30703,0.30075,0.1163,2.24658,1.38984,1.207,0.001604,0.001604,0.001604
22,108.575,2.23673,1.20707,1.10924,0.52898,0.30488,0.31237,0.11791,2.27897,1.36098,1.21477,0.0015842,0.0015842,0.0015842
23,113.435,1.89668,1.22237,1.10889,0.48376,0.34111,0.30903,0.11816,2.18854,1.33025,1.21843,0.0015644,0.0015644,0.0015644
24,117.876,2.13161,1.18463,1.09998,0.49211,0.2794,0.29101,0.11727,2.25938,1.40695,1.23437,0.0015446,0.0015446,0.0015446
25,122.426,1.97719,1.10247,1.0929,0.47888,0.26098,0.27035,0.11173,2.23174,1.47765,1.26149,0.0015248,0.0015248,0.0015248
26,126.563,2.12134,1.16209,1.0964,0.53324,0.30887,0.3114,0.11787,2.20227,1.28064,1.20432,0.001505,0.001505,0.001505
27,130.838,2.06242,1.12502,1.08686,0.5398,0.31716,0.31699,0.12821,2.17866,1.24982,1.18678,0.0014852,0.0014852,0.0014852
28,135.699,2.13308,1.17395,1.09684,0.53482,0.31133,0.30921,0.1275,2.15925,1.32715,1.17474,0.0014654,0.0014654,0.0014654
29,139.826,1.90755,1.0917,1.09251,0.52948,0.33374,0.3267,0.1282,2.18739,1.2637,1.17863,0.0014456,0.0014456,0.0014456
30,144.655,2.00159,1.11828,1.09355,0.51665,0.32096,0.3111,0.13052,2.13769,1.2966,1.17426,0.0014258,0.0014258,0.0014258
31,149.512,1.97115,1.07274,1.06195,0.50501,0.30427,0.31204,0.12599,2.14864,1.32609,1.17609,0.001406,0.001406,0.001406
32,153.865,2.00764,1.09789,1.08961,0.53334,0.33835,0.33122,0.13267,2.13982,1.25031,1.17249,0.0013862,0.0013862,0.0013862
33,158.645,1.94127,1.12579,1.10726,0.57632,0.33997,0.34886,0.14162,2.09577,1.18607,1.16482,0.0013664,0.0013664,0.0013664
34,163.373,1.83553,1.02937,1.08315,0.57474,0.32035,0.32665,0.13214,2.10735,1.2512,1.17819,0.0013466,0.0013466,0.0013466
35,167.688,2.04672,1.06731,1.04964,0.57598,0.33681,0.35614,0.14572,2.10522,1.20028,1.17735,0.0013268,0.0013268,0.0013268
36,172.727,1.96996,1.01075,1.03222,0.56369,0.32422,0.34582,0.14221,2.13764,1.22074,1.17381,0.001307,0.001307,0.001307
37,177.053,1.95762,1.04291,1.07699,0.56061,0.33313,0.34573,0.13643,2.13604,1.23706,1.17427,0.0012872,0.0012872,0.0012872
