epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1167.6,0.84903,1.08296,1.10026,0.72484,0.73045,0.75173,0.56607,0.81441,0.75041,0.99049,0.00333268,0.00333268,0.00333268
2,2324.86,1.05243,1.34627,1.19943,0.69363,0.69586,0.71982,0.52751,0.86361,0.85884,1.03466,0.00660002,0.00660002,0.00660002
3,3454.13,1.30577,1.73947,1.36242,0.61392,0.59645,0.58749,0.4064,1.02832,1.16515,1.14925,0.00980136,0.00980136,0.00980136
4,4578.4,1.43444,1.93285,1.46828,0.61219,0.60891,0.59559,0.4121,1.02098,1.14831,1.1589,0.009703,0.009703,0.009703
5,5704.17,1.34531,1.79479,1.41478,0.61633,0.62851,0.61376,0.42917,0.98028,1.09532,1.13731,0.009604,0.009604,0.009604
6,6828.52,1.30426,1.73409,1.38808,0.62756,0.63493,0.62502,0.43863,0.96115,1.06965,1.12709,0.009505,0.009505,0.009505
7,7955.41,1.27784,1.69883,1.36887,0.63177,0.64319,0.63661,0.44846,0.94753,1.04965,1.11839,0.009406,0.009406,0.009406
8,9083.6,1.26115,1.67273,1.36076,0.64143,0.64397,0.64454,0.45486,0.9338,1.03458,1.11004,0.009307,0.009307,0.009307
9,10206.3,1.25055,1.66178,1.35484,0.64511,0.64615,0.64906,0.46125,0.9246,1.02637,1.10387,0.009208,0.009208,0.009208
10,11331.1,1.23059,1.64361,1.34505,0.64843,0.65092,0.6546,0.46645,0.91616,1.01302,1.09973,0.009109,0.009109,0.009109
11,12453.7,1.22551,1.61269,1.33628,0.6543,0.65067,0.65914,0.4709,0.90796,1.00023,1.09455,0.00901,0.00901,0.00901
12,13576.7,1.22224,1.61459,1.33906,0.65153,0.66131,0.66481,0.47625,0.90103,0.98636,1.09086,0.008911,0.008911,0.008911
13,14697.9,1.22128,1.60771,1.33563,0.65407,0.65903,0.66674,0.4791,0.89415,0.97823,1.08654,0.008812,0.008812,0.008812
14,15825.5,1.21964,1.6063,1.3322,0.65432,0.66919,0.67248,0.48427,0.88793,0.96712,1.08253,0.008713,0.008713,0.008713
